id,name,lat,lng
401,CE-299 Romero de Terreros-Mier Y Pesado,19.394601,-99.165054
402,CE-276 Anaxágoras-Obrero Mundial,19.401986,-99.156366
403,CE-090 José María Pino Suárez - Corregidora,19.43144,-99.132513
404,CE-304 Montecito-Dakota,19.395043,-99.173821
405,CE-352 Tintoreto-Giorgione,19.384146,-99.185491
406,CE-366 Porfirio Díaz-Augusto Rodin,19.378423,-99.181891
407,CE-395 San Lorenzo-Martín Mendalde,19.373725,-99.169807
408,CE-316 San Francisco-Concepción Beistegui,19.391056,-99.1712
409,CE-292 Adolfo Prieto-Eje 4 Sur Xola,19.396917,-99.166264
410,CE-380 Moras-San Lorenzo,19.374756,-99.173539
411,CE-338 Nicolás San Juan-San Borja,19.384242,-99.16326
412,CE-420 María Luz Bringas-Oso,19.369672,-99.179581
413,CE-373 Pilares-Gabriel Mancera,19.377932,-99.166594
414,CE-416 Recreo-Parroquia,19.371279,-99.177623
415,CE-386 Poussin-Donatello,19.374912,-99.185807
416,CE-347 Pensilvania-Maximino Avila Camacho,19.384474,-99.176084
417,CE-342 Pitágoras-Av. División del Norte,19.38237,-99.159878
418,CE-328 Avenida 1-Calle 7,19.392721,-99.184727
419,CE-369 Porfirio Díaz-Av. Insurgentes,19.379941,-99.177224
420,CE-389 Santander-Félix Cuevas,19.373438,-99.179531
421,CE-205 Taine-Homero,19.435526,-99.184747
422,CE-396 Martin Mendalde-Felix Cuevas,19.37165,-99.17015
423,CE-436 Rodríguez Saro-Búfalo,19.36623,-99.177904
424,CE-334 Nueva York-Av. Insurgentes,19.386531,-99.175107
425,CE-385 Poussin-Empresa,19.375651,-99.185586
